Centre address	No_Street	StreetName	Suburb	ID
Corner 7th Avenue & Kommetjie Road, Fish Hoek 	Cnr	7th Avenue & Kommetjie Road	Fish Hoek 	775
Westlake Drive Westlake		Westlake Drive	Westlake 	776
Mew Way Khayelitsha		Mew Way	Khayelitsha	778
Ground Floor Cinnabar Building Main Rd Muizenberg		York Rd	Muizenberg 	779
C/o of Portlands Primary School, Kunene Rd Mitchells Plain	Cnr	Spine & Merrydale Roads	Mitchell's Plain	780
				923
"64 St George's Mall
Cape Town
8001"	64	St George's Mall	Cape Town	674
49 St George's Mall, Ground Floor, Cologne House Building, Cape Town, 8000	49	St George's Mall	Cape Town	894
				924
"2nd Floor Sunclare Building 
Cnr Protea & Dreyer Rd s Claremnt 
Cape Town
7708"	Cnr	Protea Rd & Dreyer Rd	Claremont	1045
4 DELFT STREETMALIBU VILLAGEBLUE DOWNS 7100	4	 DELFT STREET	MALIBU VILLAGEBLUE DOWNS 	28
Muller Bldg, Gabriel Rd, Plumstead, Cape Town, 7800		Muller Bldg	 Gabriel Rd	51
	8	MURRAY ST	GOODWOOD	140
UNIT 10, ALEXWAY COMPLEX, N0 5 ROMAN CLOSE, HERMANUS. SOUTH AFRICA	5	Roman Close	Hermanus	152
No 17 8th Street, Cnr 11th Avenue and 8th Street, Houghton	17	 8th Street	 Cnr 11th Avenue and 8th Street	205
244B Voortrekker Road, Parow 7500		 Voortrekker Road	 Parow 	243
BOOMPIES STREET PAROW EAST CAPE TOWN 7500		BOOMPIES STREET 	PAROW EAST 	265
85 George Blake Road Plankenbrug Stellenbosch	85	 George Blake Road  	Plankenbrug Stellenbosch	274
KABACH BUILDING, 119 MAIN RD, PLUMSTEAD, WYNBERG, Western Cape, South Africa	119	 MAIN RD	 Strand	294
Greenwich Grove – Station Road 7700 Rondebosch		Greenwich Grove – Station Road 	Rondebosch	302
Seaboard House 235 Blaauwberg Road TableView, 7441 	235	Seaboard House Blaauwberg Road 	TableView	335
Head Office 3 High Street, 3rd Floor, Rosenpark, Bellville, 7530	3	High Street  3rd Floor	 Rosenpark	349
ADT House, 5 Louwtjie Rothman Avenue, N1 City, Goodwood 7463 	5	Louwtjie Rothman Street	N1 City	460
4 Queens Park Avenue, Salt River, Cape Town 7925	4	 Queens Park Avenue	 Salt River	474
13 Prema Business Park, Engine Road, Montague Gardens, Cape Town, 7442	13	 Engine Road	Montague Gardens	483
65 Waterkant Street Cape Town City Centre, Cape Town, 8001‎	65	 Waterkant Street 	 Cape Town City Centre	563
2 KINDROGGAN FL, Cape Town, Western Cape 7405	2	 KINDROGGAN FL	 Cape Town	598
2 KINDROGGAN FL, Cape Town, Western Cape 7405	2	 KINDROGGAN FL	 Cape Town	599
112 Long street 3rd floor Twinell House	112	Long street  	 Cape Town	604
	54	suikerbekkie east st	joostenbergvlakte, Kraaifontein	645
6 Huguenot St, Bellville, 7530	6	 Huguenot St	 Bellville	781
Unit 137 Platinum Junction School Street Milnerton 7441		 Platinum Junction School Street 	Milnerton	785
9 Mullers Bldg, Cuff St, Mossel Bay, Mossel Bay, Western Cape 	9	Cuff St		887
				925
Municipal Sports Grounds Sarel van Deventer Street Kraaifontein, Western Cape 7572, South Africa		 Sarel van Deventer Street 	Kraaifontein  	969
Municipal Sports Grounds Sarel van Deventer Street Kraaifontein, Western Cape 7572, South Africa		 Sarel van Deventer Street 	Kraaifontein  	970
A” 368 Albert Road Salt River Cape Town Western Cape 7900	368	 Albert Road 	Salt River 	1010
5 Lincoln Street, Bellville, Western Cape, South Africa.	5	 Lincoln Street	 Bellville	1038
12 Bosbok Road, Aurora Durbanville Cape Town 7550	12	Bosbok Road	 Aurora Durbanville Cape Town 7550	10
Block D, Belvedere Office Park, Bella Rosa Street Durbanville Cape Town 7460		Bella Rosa Street 	Durbanville	50
230 Main Road Paarl 7620	230	Main Road 	Paarl	292
40 Oxford Street Durbanville Cape Town	40	Oxford Street 	Durbanville	318
Unit 4 Station Square, 38 Station Road Montague Gardens Cape Town 7441	38	Station Road	Montague Gardens 	321
Heuningklip Street Vredenburg Cape Town 7380		Heuningklip Street Vredenburg Cape Town 7380		374
49 Roodebloem Road, Woodstock Cape Town 8001	49	 Roodebloem Road	 Woodstock Cape Town 8001	683
Unit D7, Collingwood Building, Black River Park, Observatory Cape Town 7925	Black River Park		Observatory	725
1st Floor Leadership House, 40 Shortmarket Street, Cape Town, 8000 	40	1st Floor Leadership House	Shortmarket Street	752
Foyer A, 101, Sovereign Quay, 34 Somerset Road Green Point Cape Town 8001	34	Somerset Road	Green Point	885
5th Floor, 154 Main Road Sea Point Cape Town	154	Main Road	Sea Point	895
				926
Unit 201, 16 on Victoria Avenue Hout Bay Cape Town 7806	16	Victoria Avenue	 Hout Bay	989
9 Fortesque Road Crawford Cape Town 7780	9	Fortesque Road Crawford Cape Town 7780		1022
6 Caernarvon Crescent Parklands Cape Town 7441	6	 Caernarvon Crescent Parklands Cape Town 7441		1052
