ORIGINAL ID,NEW ID,primary_institution,website
727,727,Old Mutual South Africa,
151,151,OLIFANTSRIVIER VOLWASSE ONDERRIG SENTRU,
323,323,Omega Art Print,
367,367,Omni HR Consulting Pty Ltd t/a Omni HRC,
42,42,Omni Learning Pty Ltd,
720,720,On the Ball Computers,
99,99,Operation Upgrade Early Childhood Development Project,
362,614,Operational Process Improvements ( OPI),
614,614,Operational Process Improvements (Pty) Ltd,
486,486,Optimum Learning Technologies (Pty) Ltd,
479,479,Orbis Security Solutions Pty Ltd?ÿ,
651,651,ORCHARD ALC,
672,672,Otis (Pty) Ltd (MOWBRAY) (TP),
546,546,OUDTSHOORN CLC,
271,271,OUDTSHOORN CORRECTIONAL SERVICES,
515,515,OVERBERG CLC,
583,583,OVERSTRAND CLC,
132,132,Overstrand Skills Training Network,
93,93,OWENS AUTO (Epping Industria),
393,393,Oxbridge Academy (Pty) Ltd?ÿ,
635,635,PAARDEBERG CORRECTIONALSERVICES,
791,791,PAARDEKRAAL,
102,102,Paarl Coldset (Paarden Eiland),
656,102,Paarl Coldset Noordwes Drukkery,
173,173,Paarl Labels,
103,103,Paarl Litho Printers,
47,47,Paarl Media Academy,
319,47,Paarl Media Cape,
747,47,Paarl Media Paarl,
90,90,Paarl Post Media(Pty)Ltd,
770,770,PARKDENE-PACALTSDORP CLC,
350,350,PARMALAT SOUTH AFRICA (PTY) LTD STELLENBOSCH,
221,194,PC Training & Business College?ÿ,
194,194,PC Training and Business College (Pty) Ltd,
639,639,PEARLY BEACH ALC,
304,304,PELANDABA CLC,
541,541,PEOPLE FOR CHRIST MINISTRIES CLC,
251,251,PERCKLEEN DRY CLEANERS cc T/A AIRPORT AUTO SERVICES (Airport Industria),
417,417,Perishable Products Export Control Board (PPECB),
345,345,PERSEVERANCE ALC,
696,696,PETRO S A?ÿ,
564,696,PetroSA: Mosselbay,
162,162,PETUNIA,
441,441,PHAKAMANI ALC,
715,715,Phezukomkhono Training Services,
469,469,PHILADELPHIA,
89,89,Philani Training and Development Solutions NPC,
291,291,PHUMELELA ALC,
216,216,PIKETBERG ALC,
456,456,PINOCCHIO CRECHE,
322,322,Plastics Federation of South Africa (MAITLAND) (TP),
466,466,PLETTENBERG BAY CLC,
426,426,PLETTENBERG BAY INDUSTRIA,
154,154,POLLSMOOR PRISON,
457,457,PolyGraphics,
381,381,PolyPak (Pty) Ltd,
467,467,PORTERVILLE CLC,
256,256,PORTLANDS CLC,
732,732,PRECISION PRODUCTION (George),
678,678,PREMIER AUTO - STELLENBOSCH (Stellenbosch),
226,226,Prestige Academy (Pty) Ltd,
752,752,Pricewaterhousecoopers?ÿ,
447,447,PRINCE ALFRED'S HAMLET,
813,813,Printafoil (Pty) Limited,
293,293,Printbind Cape (Pty)Ltd,
576,576,Printech Engineering,
85,85,PRO FAB ENGINEERING (Saldanha),
176,85,PRO FAB ENGINEERING (Vredenburg),
533,219,Procedo Training,
219,219,Procedo Training Providers (PTY)LTD,
328,219,Procedo Training Providers cc,
735,219,PROCEDO TRAINING PROVIDERS CC (Strand)(DTTC),
202,219,Procedo Training Providers Pty Ltd,
317,104,Production Management Institute of Southern Africa (Pty) Ltd (BELLVILLE) (TP),
104,104,Production Management Institute of Southern Africa (Pty) Ltd (PMI),
217,217,PROEFPLAAS,
623,623,PROSPECT CLC,
433,433,PROSPERITAS TRAINING COLLEGE T/A VISION COLLEGE SA?ÿ,
2,2,PROTECH TRAINING (Somerset West)(TP),
94,94,PROTEM,
784,551,Pyrotec,
551,551,Pyrotechnical Marketing (Pty) Limited,
56,56,Qondisa Education and Training Project,
569,569,QUALITY PLASTICS (PTY) LTD (Epping),
771,771,QUEENS WAREHOUSE,
332,332,QUINTESSENTIAL SECURITY CC?ÿ,
260,260,RAVENSMEAD CLC,
203,203,Reach Out Vegetable Cultivation & Training Centre,
798,798,REACHOUT ENGINEERING & MECHANICAL LABOUR ADMIN CC T/A REACHOUT (Phillippi),
470,470,Red and Yellow School of Logic and Magic (Pty) Ltd,
421,421,Red Square Hair Academy,
