Old_ID,New_ID,_long_description,provider_id
738,738,"EDUCATION FOR AFRICA LC - PETUNIA STREET, SILVERTOWN, ATHLONE",657
739,739,"EERSTE RIVER CLC - EERSTERIVER SECONDARY SCHOOL, BEVERLY STREET, EERSTE RIVER",410
741,741,Ekhozi Rural Development Services - Ekhozi Rural Development Services NO 12 Daalder Close Strand Cape Town Metro Urban 7443,767
743,743,Ekuhlaleni Community Preschool Project - Sithandathu Avenue Medical Centre Nyanga 7755,652
742,743,"EKUHLALENI COMMUNITY PRESCHOOL PROJECT - SITHANDATHU AVENUE, NYANGA MEDICAL CENTRE, NYANGA",161
744,744,"ELANDSBAAI CLC - MAIN ROAD, ELANDS BAY, ELANDS BAY",811
745,745,"ELANDSRIVIER - ELANDSRIVIER PRIMARY, VILLIERSDORP, VILLIERSDORP",730
403,403,"ELCO PLASTICS (PTY) LTD (Stikland)(TP) - 11D Danie Uys Street, Stikland, CAPE TOWN, 7530",718
746,746,Elgin Community College - 9 Appletiser Road Grabouw 7160,152
747,746,"Elgin Community College - Elgin Community College 09 Appletiser Road , Elgin Grabouw Theewaterskloof Urban 7160",152
749,746,"ELGIN COMMUNITY LEARNING CENTRE - APPLEISER ROAD, ELGIN, GRABOUW",206
751,751,"ELSIES RIVER ADULT EDUCATION AND TRAINI - BOWLER STRAAT, LEONSDALE, ELSIES RIVIER",585
754,754,Eskom  Ankerlig Power Station - Eskom Ankerlig Power Station Atlantis Industrial Tygervalley 7536,420
755,755,Eskom Generation - Palmiet Pump Storage Grabouw - 15 Pasita Street Rosenpark Bellville 7536,686
757,757,Eskom GX: Peaking Power Station - 15 Pasita Street Rosenpark Bellville 7536,295
758,757,Eskom GX: Peaking Power Station - 15 Pasita Street Rosenpark Bellville 7536,295
759,759,Eskom Koeberg - EE - Generation & Trade Test Centre - R27 West Coast Road Melkbosstrand 7440,556
760,760,Eskom Koeberg - Radiation Protection - Off Westcoast Road Melkbosstrand  Cape Town 7440,100
761,761,Eskom Koeberg Nuclear Power Station PPO - R27 West Coast Road Melkbosstrand,359
763,763,"Exacct Accounting CC - CARPE DIEM BUILDING, BLOCK A, TECHNO PARK, QUANTUM STREET, STELLENBOSCH, WESTERN CAPE, ZA,",527
404,404,"EXACTOCRAFT (PTY) LTD (Paarden Eiland) - 21 Transvaal Street, PAARDEN EILAND, 7405",804
765,765,EXERCISE TEACHERS ACADEMY - Rondebosch,742
767,765,EXERCISE TEACHERS ACADEMY - Rondebosch,742
766,765,EXERCISE TEACHERS ACADEMY - Rondebosch,742
768,765,"Exercise Teachers Academy (Pty) Ltd t/a ETA - WPCC Sports Centre, Avenue de Mist, Rondebosch,7700",761
769,769,Express Training cc - 17 NOOITGEDACHT DRIVE HOUTBAY 7872,589
770,770,"EZELFONTEIN - LYELL STREET, CERES, CERE",615
771,771,"EZIQHAMENI ALC - LYELL STREET, HAMLET, CERES",169
